<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20180725;0;62.9235;62.9235;62.9235;62.9235;0
USDCB;D;20180726;0;63.0836;63.0836;63.0836;63.0836;0
USDCB;D;20180727;0;62.9471;62.9471;62.9471;62.9471;0
USDCB;D;20180728;0;62.9726;62.9726;62.9726;62.9726;0
USDCB;D;20180731;0;62.7805;62.7805;62.7805;62.7805;0
USDCB;D;20180801;0;62.3497;62.3497;62.3497;62.3497;0
USDCB;D;20180802;0;62.559;62.559;62.559;62.559;0
USDCB;D;20180803;0;63.1358;63.1358;63.1358;63.1358;0
USDCB;D;20180804;0;63.4549;63.4549;63.4549;63.4549;0
USDCB;D;20180807;0;63.4975;63.4975;63.4975;63.4975;0
USDCB;D;20180808;0;63.5425;63.5425;63.5425;63.5425;0
USDCB;D;20180809;0;63.595;63.595;63.595;63.595;0
USDCB;D;20180810;0;66.2856;66.2856;66.2856;66.2856;0
USDCB;D;20180811;0;66.9075;66.9075;66.9075;66.9075;0
USDCB;D;20180814;0;68.2234;68.2234;68.2234;68.2234;0
USDCB;D;20180815;0;66.7535;66.7535;66.7535;66.7535;0
USDCB;D;20180816;0;66.3772;66.3772;66.3772;66.3772;0
USDCB;D;20180817;0;66.8932;66.8932;66.8932;66.8932;0
USDCB;D;20180818;0;66.8757;66.8757;66.8757;66.8757;0
USDCB;D;20180821;0;67.1807;67.1807;67.1807;67.1807;0
USDCB;D;20180822;0;67.1783;67.1783;67.1783;67.1783;0
USDCB;D;20180823;0;67.6163;67.6163;67.6163;67.6163;0
USDCB;D;20180824;0;68.5259;68.5259;68.5259;68.5259;0
USDCB;D;20180825;0;67.7911;67.7911;67.7911;67.7911;0
USDCB;D;20180828;0;67.3963;67.3963;67.3963;67.3963;0
USDCB;D;20180829;0;67.3911;67.3911;67.3911;67.3911;0
USDCB;D;20180830;0;68.1451;68.1451;68.1451;68.1451;0
USDCB;D;20180831;0;68.0821;68.0821;68.0821;68.0821;0
USDCB;D;20180901;0;68.0447;68.0447;68.0447;68.0447;0
USDCB;D;20180904;0;67.7443;67.7443;67.7443;67.7443;0
USDCB;D;20180905;0;68.2737;68.2737;68.2737;68.2737;0
USDCB;D;20180906;0;68.4628;68.4628;68.4628;68.4628;0
USDCB;D;20180907;0;68.2505;68.2505;68.2505;68.2505;0
USDCB;D;20180908;0;69.0286;69.0286;69.0286;69.0286;0
USDCB;D;20180911;0;69.8685;69.8685;69.8685;69.8685;0
USDCB;D;20180912;0;69.9744;69.9744;69.9744;69.9744;0
USDCB;D;20180913;0;69.5728;69.5728;69.5728;69.5728;0
USDCB;D;20180914;0;68.637;68.637;68.637;68.637;0
USDCB;D;20180915;0;68.2826;68.2826;68.2826;68.2826;0
USDCB;D;20180918;0;68.1958;68.1958;68.1958;68.1958;0
USDCB;D;20180919;0;67.7519;67.7519;67.7519;67.7519;0
USDCB;D;20180920;0;67.0098;67.0098;67.0098;67.0098;0
USDCB;D;20180921;0;66.4725;66.4725;66.4725;66.4725;0
USDCB;D;20180922;0;66.2497;66.2497;66.2497;66.2497;0
USDCB;D;20180925;0;66.1594;66.1594;66.1594;66.1594;0
USDCB;D;20180926;0;65.8244;65.8244;65.8244;65.8244;0
USDCB;D;20180927;0;65.7585;65.7585;65.7585;65.7585;0
USDCB;D;20180928;0;65.8355;65.8355;65.8355;65.8355;0
USDCB;D;20180929;0;65.5906;65.5906;65.5906;65.5906;0
USDCB;D;20181002;0;65.5745;65.5745;65.5745;65.5745;0
USDCB;D;20181003;0;65.2221;65.2221;65.2221;65.2221;0
USDCB;D;20181004;0;65.4244;65.4244;65.4244;65.4244;0
USDCB;D;20181005;0;66.2115;66.2115;66.2115;66.2115;0
USDCB;D;20181006;0;66.627;66.627;66.627;66.627;0
USDCB;D;20181009;0;66.9685;66.9685;66.9685;66.9685;0
USDCB;D;20181010;0;66.4032;66.4032;66.4032;66.4032;0
USDCB;D;20181011;0;66.1832;66.1832;66.1832;66.1832;0
USDCB;D;20181012;0;66.7727;66.7727;66.7727;66.7727;0
USDCB;D;20181013;0;65.9751;65.9751;65.9751;65.9751;0
USDCB;D;20181016;0;65.7508;65.7508;65.7508;65.7508;0
USDCB;D;20181017;0;65.5305;65.5305;65.5305;65.5305;0
