<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20151218;000000;70.5806000;70.5806000;70.5806000;70.5806000;0
USDCB;D;20151219;000000;71.3215000;71.3215000;71.3215000;71.3215000;0
USDCB;D;20151222;000000;71.2553000;71.2553000;71.2553000;71.2553000;0
USDCB;D;20151223;000000;71.1211000;71.1211000;71.1211000;71.1211000;0
USDCB;D;20151224;000000;70.9333000;70.9333000;70.9333000;70.9333000;0
USDCB;D;20151225;000000;69.5165000;69.5165000;69.5165000;69.5165000;0
USDCB;D;20151226;000000;70.2690000;70.2690000;70.2690000;70.2690000;0
USDCB;D;20151229;000000;70.7865000;70.7865000;70.7865000;70.7865000;0
USDCB;D;20151230;000000;72.5066000;72.5066000;72.5066000;72.5066000;0
USDCB;D;20151231;000000;72.8827000;72.8827000;72.8827000;72.8827000;0
USDCB;D;20160101;000000;72.9299000;72.9299000;72.9299000;72.9299000;0
USDCB;D;20160112;000000;75.9507000;75.9507000;75.9507000;75.9507000;0
USDCB;D;20160113;000000;76.6041000;76.6041000;76.6041000;76.6041000;0
USDCB;D;20160114;000000;76.4275000;76.4275000;76.4275000;76.4275000;0
USDCB;D;20160115;000000;76.5230000;76.5230000;76.5230000;76.5230000;0
USDCB;D;20160116;000000;76.5650000;76.5650000;76.5650000;76.5650000;0
USDCB;D;20160119;000000;78.6678000;78.6678000;78.6678000;78.6678000;0
USDCB;D;20160120;000000;78.4862000;78.4862000;78.4862000;78.4862000;0
USDCB;D;20160121;000000;79.4614000;79.4614000;79.4614000;79.4614000;0
USDCB;D;20160122;000000;83.5913000;83.5913000;83.5913000;83.5913000;0
USDCB;D;20160123;000000;80.5714000;80.5714000;80.5714000;80.5714000;0
USDCB;D;20160126;000000;77.7965000;77.7965000;77.7965000;77.7965000;0
USDCB;D;20160127;000000;81.8394000;81.8394000;81.8394000;81.8394000;0
USDCB;D;20160128;000000;78.9969000;78.9969000;78.9969000;78.9969000;0
USDCB;D;20160129;000000;77.3674000;77.3674000;77.3674000;77.3674000;0
USDCB;D;20160130;000000;75.1723000;75.1723000;75.1723000;75.1723000;0
USDCB;D;20160202;000000;76.3264000;76.3264000;76.3264000;76.3264000;0
USDCB;D;20160203;000000;77.9273000;77.9273000;77.9273000;77.9273000;0
USDCB;D;20160204;000000;79.2593000;79.2593000;79.2593000;79.2593000;0
USDCB;D;20160205;000000;76.4609000;76.4609000;76.4609000;76.4609000;0
USDCB;D;20160206;000000;77.3409000;77.3409000;77.3409000;77.3409000;0
USDCB;D;20160209;000000;76.8614000;76.8614000;76.8614000;76.8614000;0
USDCB;D;20160210;000000;78.6805000;78.6805000;78.6805000;78.6805000;0
USDCB;D;20160211;000000;79.0689000;79.0689000;79.0689000;79.0689000;0
USDCB;D;20160212;000000;79.1144000;79.1144000;79.1144000;79.1144000;0
USDCB;D;20160213;000000;79.4951000;79.4951000;79.4951000;79.4951000;0
USDCB;D;20160216;000000;77.7792000;77.7792000;77.7792000;77.7792000;0
USDCB;D;20160217;000000;76.2450000;76.2450000;76.2450000;76.2450000;0
USDCB;D;20160218;000000;77.8503000;77.8503000;77.8503000;77.8503000;0
USDCB;D;20160219;000000;75.4575000;75.4575000;75.4575000;75.4575000;0
USDCB;D;20160220;000000;76.3657000;76.3657000;76.3657000;76.3657000;0
USDCB;D;20160221;000000;77.1326000;77.1326000;77.1326000;77.1326000;0
USDCB;D;20160225;000000;76.3928000;76.3928000;76.3928000;76.3928000;0
USDCB;D;20160226;000000;76.3929000;76.3929000;76.3929000;76.3929000;0
USDCB;D;20160227;000000;75.0903000;75.0903000;75.0903000;75.0903000;0
USDCB;D;20160301;000000;75.8994000;75.8994000;75.8994000;75.8994000;0
USDCB;D;20160302;000000;74.0536000;74.0536000;74.0536000;74.0536000;0
